time,Y,alpha_0.5%,alpha_2.5%,alpha_5%,alpha_10%,alpha_15%,alpha_20%,alpha_25%,alpha_50%,alpha_75%,alpha_80%,alpha_85%,alpha_90%,alpha_95%,alpha_97.5%,alpha_99.5%,b_ex_0.5%,b_ex_2.5%,b_ex_5%,b_ex_10%,b_ex_15%,b_ex_20%,b_ex_25%,b_ex_50%,b_ex_75%,b_ex_80%,b_ex_85%,b_ex_90%,b_ex_95%,b_ex_97.5%,b_ex_99.5%
-28,0.1866331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27,0.16203009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-26,-0.71599592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-25,-0.0759086799999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-24,0.546141639999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-23,0.450485130000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-22,0.32477019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21,-0.0145169200000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,-0.23143783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19,0.108072969999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-18,-0.0104377099999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-17,0.0938907100000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-16,0.12214195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15,-0.167882519999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-14,-0.30942252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-13,-0.10725401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-12,0.21284364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-11,0.00146989000000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10,0.14322213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9,0.0475685800000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,0.0692590499999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7,-0.3091541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6,-0.14181744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5,0.0707427899999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4,-0.14278433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,-0.21347709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-0.54188453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,-0.11403156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.0817909399999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.226461639999999,-0.168119792593276,-0.142767937235833,-0.129796542418416,-0.114841354932505,-0.104751160935672,-0.0967317946126485,-0.0898518923654113,-0.0620867851913808,-0.0343216780173503,-0.0274417757701132,-0.0194224094470896,-0.00933221545025694,0.00562297203565454,0.0185943668530711,0.0439462222105143,-0.168119792593276,-0.142767937235833,-0.129796542418416,-0.114841354932505,-0.104751160935672,-0.0967317946126485,-0.0898518923654113,-0.0620867851913808,-0.0343216780173503,-0.0274417757701132,-0.0194224094470896,-0.00933221545025694,0.00562297203565454,0.0185943668530711,0.0439462222105143
2,0.39268239,-0.170041544459584,-0.145258012047719,-0.132577402311195,-0.117957471400546,-0.108093473423408,-0.100253880526279,-0.0935282078711292,-0.066385522499013,-0.0392428371268968,-0.0325171644717472,-0.0246775715746176,-0.01481357359748,-0.000193642686830503,0.0124869670496932,0.0372704994615579,-0.170041544459584,-0.145258012047719,-0.132577402311195,-0.117957471400546,-0.108093473423408,-0.100253880526279,-0.0935282078711292,-0.066385522499013,-0.0392428371268968,-0.0325171644717472,-0.0246775715746176,-0.01481357359748,-0.000193642686830503,0.0124869670496932,0.0372704994615579
3,-0.0112663299999998,-0.175730643081066,-0.15143549022933,-0.139004762168363,-0.124672928826236,-0.115003308910835,-0.107318201535263,-0.100725063701958,-0.0741172469079954,-0.0475094301140327,-0.0409162922807281,-0.0332311849051562,-0.0235615649897545,-0.00922973164762765,0.00320099641333935,0.027496149265075,-0.175730643081066,-0.15143549022933,-0.139004762168363,-0.124672928826236,-0.115003308910835,-0.107318201535263,-0.100725063701958,-0.0741172469079954,-0.0475094301140327,-0.0409162922807281,-0.0332311849051562,-0.0235615649897545,-0.00922973164762765,0.00320099641333935,0.027496149265075
4,-0.0589482500000003,-0.182181723587973,-0.158305141508008,-0.146088577131044,-0.132003660800697,-0.122500634620902,-0.114947930665262,-0.108468383176834,-0.0823189810501319,-0.0561695789234294,-0.0496900314350019,-0.0421373274793615,-0.0326343012995669,-0.0185493849692202,-0.00633282059225611,0.0175437614877095,-0.182181723587973,-0.158305141508008,-0.146088577131044,-0.132003660800697,-0.122500634620902,-0.114947930665262,-0.108468383176834,-0.0823189810501319,-0.0561695789234294,-0.0496900314350019,-0.0421373274793615,-0.0326343012995669,-0.0185493849692202,-0.00633282059225611,0.0175437614877095
