time,Y,alpha_0.5%,alpha_2.5%,alpha_5%,alpha_10%,alpha_15%,alpha_20%,alpha_25%,alpha_50%,alpha_75%,alpha_80%,alpha_85%,alpha_90%,alpha_95%,alpha_97.5%,alpha_99.5%,b_ex_0.5%,b_ex_2.5%,b_ex_5%,b_ex_10%,b_ex_15%,b_ex_20%,b_ex_25%,b_ex_50%,b_ex_75%,b_ex_80%,b_ex_85%,b_ex_90%,b_ex_95%,b_ex_97.5%,b_ex_99.5%
-28,-0.24035782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27,-0.0437249600000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-26,-0.120881599999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-25,0.0123640099999989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-24,0.0126291900000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-23,0.22004158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-22,0.64318694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21,-0.0199920899999988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,0.24740106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19,0.26545153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-18,0.260128399999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-17,0.0199545099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-16,-0.33044174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15,-0.59458991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-14,-0.0714207699999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-13,0.835432769999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-12,-0.13527023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-11,0.3603205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10,-0.10947612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9,-0.33402446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,-0.4644263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7,-0.844102790000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6,-0.65985146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5,-0.21894322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4,-0.2185248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,0.1394501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0.11513538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0.0640929300000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.3695261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.739508279999999,-0.173581305047843,-0.140892241612109,-0.124166730123579,-0.104883286544104,-0.0918728387093864,-0.0815325472099423,-0.0726614978204326,-0.0368607512117484,-0.00106000460306415,0.00781104478644554,0.0181513362858897,0.0311617841206075,0.050445227700082,0.0671707391886126,0.0998598026243467,-0.173581305047843,-0.140892241612109,-0.124166730123579,-0.104883286544104,-0.0918728387093864,-0.0815325472099423,-0.0726614978204326,-0.0368607512117484,-0.00106000460306415,0.00781104478644554,0.0181513362858897,0.0311617841206075,0.050445227700082,0.0671707391886126,0.0998598026243467
2,-0.215397769999999,-0.177324194744779,-0.145320310286377,-0.128945373811401,-0.110066120770367,-0.0973283783730367,-0.0872048245102896,-0.078519716714381,-0.043469371505152,-0.00841902629592297,0.000266081499985721,0.0103896353627327,0.0231273777600633,0.0420066308010969,0.058381567276073,0.0903854517344753,-0.177324194744779,-0.145320310286377,-0.128945373811401,-0.110066120770367,-0.0973283783730367,-0.0872048245102896,-0.078519716714381,-0.043469371505152,-0.00841902629592297,0.000266081499985721,0.0103896353627327,0.0231273777600633,0.0420066308010969,0.058381567276073,0.0903854517344753
3,0.27206322,-0.180273967348819,-0.148862279241218,-0.132790342786058,-0.114260429362572,-0.101758384746708,-0.0918221560088981,-0.0832977564904404,-0.0488959790059887,-0.0144942015215371,-0.00596980200307937,0.00396642673473013,0.0164684713505945,0.0349983847740801,0.0510703212292404,0.0824820093368416,-0.180273967348819,-0.148862279241218,-0.132790342786058,-0.114260429362572,-0.101758384746708,-0.0918221560088981,-0.0832977564904404,-0.0488959790059887,-0.0144942015215371,-0.00596980200307937,0.00396642673473013,0.0164684713505945,0.0349983847740801,0.0510703212292404,0.0824820093368416
4,0.308812400000001,-0.185771595512895,-0.154870512539572,-0.139059829578452,-0.120831124701904,-0.108532304062668,-0.0987575912991519,-0.0903717581049827,-0.0565291904328689,-0.022686622760755,-0.0143007895665858,-0.00452607680306945,0.00777274383616653,0.0260014487127139,0.0418121316738343,0.072713214647157,-0.185771595512895,-0.154870512539572,-0.139059829578452,-0.120831124701904,-0.108532304062668,-0.0987575912991519,-0.0903717581049827,-0.0565291904328689,-0.022686622760755,-0.0143007895665858,-0.00452607680306945,0.00777274383616653,0.0260014487127139,0.0418121316738343,0.072713214647157
5,0.25555039,-0.194079205892568,-0.163617418737111,-0.148031503526313,-0.130061941470886,-0.117937963262777,-0.108302209720902,-0.100035591165738,-0.0666741360312349,-0.0333126808967319,-0.0250460623415675,-0.0154103087996928,-0.00328633059158356,0.0146832314638432,0.0302691466746415,0.0607309338300979,-0.194079205892568,-0.163617418737111,-0.148031503526313,-0.130061941470886,-0.117937963262777,-0.108302209720902,-0.100035591165738,-0.0666741360312349,-0.0333126808967319,-0.0250460623415675,-0.0154103087996928,-0.00328633059158356,0.0146832314638432,0.0302691466746415,0.0607309338300979
