time,Y,alpha_0.5%,alpha_2.5%,alpha_5%,alpha_10%,alpha_15%,alpha_20%,alpha_25%,alpha_50%,alpha_75%,alpha_80%,alpha_85%,alpha_90%,alpha_95%,alpha_97.5%,alpha_99.5%,b_ex_0.5%,b_ex_2.5%,b_ex_5%,b_ex_10%,b_ex_15%,b_ex_20%,b_ex_25%,b_ex_50%,b_ex_75%,b_ex_80%,b_ex_85%,b_ex_90%,b_ex_95%,b_ex_97.5%,b_ex_99.5%
-28,0.0472570500000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27,-0.15827172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-26,-0.0473446700000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-25,0.0469162399999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-24,0.10846139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-23,-0.0622418400000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-22,-0.217236029999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21,0.06395661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,-0.148057400000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19,-0.0491928000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-18,-0.19262971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-17,0.0932729900000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-16,-0.0208334400000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15,0.24003841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-13,0.104611419999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-12,-0.15355104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-11,-0.0131505899999986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10,-0.153978400000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9,0.328683600000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,0.0413749799999987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7,0.17098891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6,-0.39555322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5,0.220505470000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4,0.0458622000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,0.0677264299999987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-0.1771423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0.0441169000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.68068053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0412237500000003,-0.182679554181696,-0.153666351368953,-0.138821611080887,-0.121706576243646,-0.110159143492769,-0.10098161000344,-0.0931081034526722,-0.0613331239018685,-0.0295581443510647,-0.0216846378002972,-0.012507104310968,-0.000959671560091378,0.0161553632771501,0.0310001035652165,0.0600133063779596,-0.182679554181696,-0.153666351368953,-0.138821611080887,-0.121706576243646,-0.110159143492769,-0.10098161000344,-0.0931081034526722,-0.0613331239018685,-0.0295581443510647,-0.0216846378002972,-0.012507104310968,-0.000959671560091378,0.0161553632771501,0.0310001035652165,0.0600133063779596
2,0.0219644999999993,-0.181776883208612,-0.153901171704354,-0.139638434139785,-0.123194411169019,-0.112099706938817,-0.103281987725933,-0.0957171697858858,-0.0651879597318048,-0.0346587496777238,-0.0270939317376763,-0.0182762125247931,-0.00718150829459097,0.00926251467617568,0.0235252522407446,0.0514009637450021,-0.181776883208612,-0.153901171704354,-0.139638434139785,-0.123194411169019,-0.112099706938817,-0.103281987725933,-0.0957171697858858,-0.0651879597318048,-0.0346587496777238,-0.0270939317376763,-0.0182762125247931,-0.00718150829459097,0.00926251467617568,0.0235252522407446,0.0514009637450021
3,0.0463577300000004,-0.183306284191415,-0.156340085289625,-0.14254270408228,-0.126635207188163,-0.115902494554712,-0.10737247478756,-0.100054477354705,-0.0705213567200214,-0.0409882360853374,-0.0336702386524828,-0.0251402188853307,-0.0144075062518803,0.00149999064223762,0.0152973718495822,0.0422635707513725,-0.183306284191415,-0.156340085289625,-0.14254270408228,-0.126635207188163,-0.115902494554712,-0.10737247478756,-0.100054477354705,-0.0705213567200214,-0.0409882360853374,-0.0336702386524828,-0.0251402188853307,-0.0144075062518803,0.00149999064223762,0.0152973718495822,0.0422635707513725
4,-0.0249561600000003,-0.187600479101185,-0.161356841900482,-0.147929162751334,-0.13244790865316,-0.12200278001054,-0.113701322882702,-0.106579411842776,-0.0778376338056134,-0.0490958557684509,-0.0419739447285246,-0.0336724876006867,-0.0232273589580669,-0.0077461048598923,0.00568157428925557,0.0319252114899582,-0.187600479101185,-0.161356841900482,-0.147929162751334,-0.13244790865316,-0.12200278001054,-0.113701322882702,-0.106579411842776,-0.0778376338056134,-0.0490958557684509,-0.0419739447285246,-0.0336724876006867,-0.0232273589580669,-0.0077461048598923,0.00568157428925557,0.0319252114899582
