time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13,chloroplast14,chloroplast15
-1,0,8.16730905,13.33118945,6.75682007,7.82030076,14.69493501,6.93358794,11.622365,15.63060929,19.01651481,14.42067532,11.94944651,15.43006469,11.80593486,12.68867642,15.31329018
0,0,8.26671108,12.65050892,6.67502913,7.45077466,14.87478077,6.73353878,11.6611871,15.91170426,18.55187878,14.44175244,11.58833959,15.57983022,11.20051689,12.47464797,15.30264101
1,1,8.68200394,12.69173267,6.90149077,8.19028294,14.97038441,6.62083683,11.44983929,15.86836731,18.27725528,14.18348568,11.41271345,15.94026766,10.89324245,12.67889286,15.59033603
2,1,8.74532989,12.71369717,7.29417316,7.97488517,14.77256448,6.62083683,11.54222807,15.88545959,18.30547645,13.90300293,11.31491559,16.0864098,10.90684386,12.88564211,15.29624882
3,1,8.94371448,12.7600549,7.28290683,8.24694839,14.67655827,6.65408986,11.6709758,16.46356408,18.03104361,13.98294146,11.31491559,16.45446615,10.59100974,13.0948099,15.30264101
4,1,8.81492223,12.73509874,7.22395858,8.55576079,14.72562663,6.61319307,11.58750491,16.51224985,17.84089297,13.79102151,11.72337527,16.31490698,10.88235294,12.67889286,15.31329018
5,1,8.61451217,12.73699333,7.19177742,8.81131118,14.52964849,6.54116631,11.58750491,16.63921271,17.85190566,13.80628806,11.65079983,16.57508816,10.29694544,12.89047803,15.62182134
6,1,8.59846906,12.72102581,6.70942896,8.61867541,14.29487285,6.26044647,11.63280355,16.80382194,17.8802713,13.46314897,11.41271345,16.71297509,10.59100974,12.89047803,15.62182134
7,1,8.59846906,12.49505615,6.40406721,8.61867541,14.20590888,5.9200174,11.78742756,17.10797813,17.73926966,12.87293865,11.65079983,16.59712912,10.88507602,13.1043687,15.34733007
8,1,8.43542522,12.37189338,6.0783342,8.14118137,13.75386209,5.58118184,11.96834242,17.30199669,17.34822684,12.87293865,12.06135884,16.34127051,10.90684386,12.68867642,15.66372714
9,1,8.12247669,12.13456759,5.94059094,7.94567732,13.42316385,5.37385458,12.14985851,17.26067408,17.18370684,12.82508244,12.30051902,16.34127051,10.63256737,12.92911842,15.64068948
10,1,7.90697771,11.98575573,5.40992792,7.48879736,12.90373356,5.22028471,11.81295917,17.29089277,17.21982011,12.71507209,12.2353945,16.19688558,10.6878063,12.92911842,15.30264101
11,1,7.51280702,11.98575573,5.10052368,7.28863123,12.27286582,5.30568631,11.70355146,17.29089277,17.39402185,12.21650446,12.64705882,16.34127051,10.6878063,12.29301717,15.29624882
12,1,7.05394674,11.87643568,4.686660507,6.71312221,12.05380194,5.32569852,11.7398365,17.19791616,17.30670312,11.63217943,12.41265896,16.48871113,10.6878063,11.44167631,14.70588235
13,1,6.56079023,11.23035618,4.638194358,6.600277,11.40813205,5.31561108,11.54883666,16.92722072,17.15807259,11.35624115,12.41265896,16.48871113,10.657449,11.0260385,14.41176471
14,1,6.09057794,11.09409448,4.268742767,6.44738898,10.69326407,4.799119413,11.22128759,16.76172476,17.15807259,11.19064056,12.18009631,16.0864098,10.36465634,10.827793,14.11990937
15,1,5.60265052,11.08597683,4.152125932,6.3149318,9.935533,4.634317267,11.05906593,16.44243297,16.69350813,10.88168511,12.18009631,16.0864098,9.84930066,10.41243824,13.53174588
16,1,5.32767639,11.03366047,4.220083432,6.11867712,9.56816067,4.630378235,10.94398656,16.32520458,15.42085509,10.70187704,11.89065178,15.57983022,9.55808079,9.77922885,13.24477932
17,1,5.18090317,10.87922839,4.113840657,5.89709565,8.99713508,4.144646405,10.57694344,16.00375417,15.19048561,10.70187704,11.48108909,15.57983022,8.97600514,9.58182971,12.96286057
18,1,5.07782219,10.78303338,4.056148278,5.72127521,8.46271211,4.110275853,10.15232569,15.51472989,15.12754267,10.40884508,10.74559861,15.57983022,8.44281751,9.58182971,12.65686002
19,1,4.914208112,10.33506961,4.036985605,5.63293623,7.95871138,4.015983927,9.6129416,14.7935296,14.47442156,10.58444429,10.49919074,15.57983022,8.10392318,9.16658186,12.35543352
20,1,4.756025775,9.90732005,3.99826973,5.23954348,7.91021996,3.942457769,9.17698247,14.27215368,14.11535482,10.34564284,9.68527969,15.07770372,8.06094312,8.73249121,12.05882353
21,1,4.551043214,9.88784484,3.751909772,4.956687729,7.7168828,3.813925057,8.48276093,14.21248173,13.6637886,9.91945729,9.52834004,14.67293119,7.76958432,8.31674285,12.35294118
22,1,4.503232013,9.80113498,3.70404779,4.734919923,7.3865645,3.848005269,8.18439523,14.20985631,13.29238638,9.68067186,9.52834004,15.07770372,7.52333462,7.90100718,12.05882353
23,1,4.373558136,9.32886387,3.6454925,4.51443439,7.22514387,3.766959728,7.73685933,14.33553387,12.85776873,9.10991448,9.93353209,14.26863453,7.52333462,7.68803212,11.47321408
24,1,4.13549309,9.15512794,3.672101482,4.383214459,7.08010994,3.747219034,7.53065752,14.19631502,12.74928913,8.6272482,9.52834004,13.71522149,7.86407513,7.27214473,11.47058824
25,1,3.842656964,8.83860498,3.661961393,4.322702589,7.07208342,3.714402518,6.98604573,13.19192397,12.33050838,8.34437007,9.52834004,13.31340009,7.52333462,7.06957913,11.17914416
26,1,3.710132235,8.72636657,3.710054644,3.953835746,6.87054556,3.606396993,6.56734789,12.85301332,11.54089192,8.32408092,9.12377318,12.65686002,6.94349441,7.06957913,10.88507602
27,1,3.545323014,8.63582477,3.854113661,3.702750719,6.81451873,3.606396993,6.19460517,12.30568563,11.04559356,8.23750599,9.37570519,12.65686002,6.65388986,6.65388986,10.89324245
28,1,3.444365559,8.20763049,3.854113661,3.538458129,6.28217344,3.29352719,6.07313252,11.77502263,10.33223411,7.87879946,9.08390576,12.00040708,6.36451711,6.44038255,10.59933012
29,1,3.444365559,8.24264502,3.854113661,3.129742576,6.02450871,3.293714936,6.07313252,11.33794512,9.42406071,7.62199256,9.12377318,11.74663629,5.78654166,6.23821951,10.29694544
30,1,3.423531466,8.1229374,3.788970995,2.95755875,5.71862077,3.418395166,6.01039057,10.85514494,9.02007267,7.55998717,9.12377318,11.49420576,5.73428682,6.23821951,10
